Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Gas,PJM,52193.0,92.0,39.5871,-75.6343,952263.785,1248944.0,3.36,2.5618493043723336
Gas,PJM,52193.0,92.0,39.5871,-75.6343,952263.785,1248944.0,3.36,2.5618493043723336
Gas,PJM,65945.0,0.6,38.99903,-77.058,2000.001,2226.0,3.36,3.018869433962264
Gas,PJM,59055.0,3.0,40.574444,-74.648056,7143.0,2454.0,3.36,9.780146699266504
Gas,PJM,58375.0,0.8,41.916944,-87.845556,502.146,126.999,3.36,13.28522712777266
Gas,PJM,58375.0,0.8,41.916944,-87.845556,502.146,126.999,3.36,13.28522712777266
Gas,PJM,58375.0,0.8,41.916944,-87.845556,502.146,126.999,3.36,13.28522712777266
Gas,PJM,58375.0,0.8,41.916944,-87.845556,502.146,126.999,3.36,13.28522712777266
Gas,PJM,58375.0,0.4,41.916944,-87.845556,502.146,126.999,3.36,13.28522712777266
Gas,PJM,54795.0,10.0,39.2744,-76.5956,199241.005,49606.22,3.36,13.495278954937504
Gas,PJM,54795.0,2.5,39.2744,-76.5956,199241.005,49606.22,3.36,13.495278954937504
Gas,PJM,54795.0,5.0,39.2744,-76.5956,199241.005,49606.22,3.36,13.495278954937504
Gas,PJM,58584.0,15.5,40.341389,-74.657222,219995.238,54033.999,3.36,13.679979519561376
Gas,PJM,10244.0,27.2,39.324611,-82.974039,1310206.061,291641.274,3.36,15.09488799229426
Gas,PJM,59860.0,15.0,39.132519,-78.187474,462099.736,92473.0,3.36,16.790361651076527
Gas,PJM,10123.0,5.3,40.8359,-74.155,252742.941,49978.0,3.36,16.991802028092362
Gas,PJM,10123.0,5.3,40.8359,-74.155,252742.941,49978.0,3.36,16.991802028092362
Gas,PJM,50410.0,17.3,39.843743,-75.358801,858325.599,169319.0,3.36,17.03278434576155
Gas,PJM,50410.0,17.3,39.843743,-75.358801,858325.599,169319.0,3.36,17.03278434576155
Gas,PJM,50410.0,17.3,39.843743,-75.358801,858325.599,169319.0,3.36,17.03278434576155
Gas,PJM,50410.0,17.3,39.843743,-75.358801,858325.599,169319.0,3.36,17.03278434576155
Gas,PJM,58195.0,7.0,40.809167,-77.8475,238609.335,46837.14,3.36,17.117342467964523
Gas,PJM,55990.0,0.8,41.890026,-80.7612,885352.798,170112.0,3.36,17.487216664785553
Gas,PJM,55990.0,4.9,41.890026,-80.7612,885352.798,170112.0,3.36,17.487216664785553
Gas,PJM,55990.0,4.9,41.890026,-80.7612,885352.798,170112.0,3.36,17.487216664785553
